,COD_PERIODO,COD_PAIS,TARGET,ALCANCE,ESTRUCTURA_VENTA,COD_SUBESTRATEGIA,DES_SUBESTRATEGIA,COD_CUC,COD_UNIDAD_NEGOCIO,DES_UNIDAD_NEGOCIO,COD_MARCA,DES_MARCA,DES_CLASE,COD_CATEGORIA,DES_CATEGORIA,COD_TIPOSOLO,DES_TIPOSOLO,ES_EMPAQUE,ES_MUESTRA,DES_CUC,PRECIO_NORMAL,PRECIO_OFERTA,FACTOR_REPETICION,REAL_VENTA_NETA_MONEDA_LOCAL,OFFER_UNIT_DSCT,OFFER_DSCT,PUP,DESLINEA,DESSUBCATEGORIA,DESESTATUS,ANIOCAMPANAINTRO
2,202308,PE,CONSULTORA,MASIVO,3384_3541_3392_3392,1,INDIVIDUAL,P0596048576,20,ACCESORIOS,C,CYZONE,BIJOUTERIE,21,BIJOUTERIE,106,ESTUCHES ARETES,0,0,,88.0,29.9,1.0,64946.36,0.660227,0.660227,0.018725,,,,
3,202315,PE,CONSULTORA,MASIVO,3001_3343_24993_24993,999,VOLUMEN,P0132056004,10,COSMETICOS,C,CYZONE,MAQUILLAJE,2,MAQUILLAJE,86,DELINEADOR OJOS,0,0,CZ SL DELINEADOR PLUMON 1ML,40.0,12.47,2.0,2008.26,0.68825,0.685549,0.001423,STUDIO LOOK,,,
4,202211,PE,CONSULTORA,MASIVO,1111_1186_316905_316905,999,VOLUMEN,200107337,10,COSMETICOS,C,CYZONE,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,18,DESMANCHADORAS-ACLARADORAS,0,0,CZ SKIN F SERU CORRECTOR 19ML,1.0,12.5,2.0,35513.31,-11.5,0.29292,0.025414,SKIN FIRST,PARA ROSTRO,DUAL PLANNING,202211.0
9,202307,PE,CONSULTORA,MASIVO,1362_1440_391272_391272,999,VOLUMEN,210059944,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,232,AEROSOL,0,0,CZ TRAX MYSTERIOUS 150ML,48.0,14.98,6.0,27507.07,0.687917,0.7004,0.0157,TRAX,DESODORANTES,ACTIVO,202113.0
10,202403,PE,CONSULTORA,MASIVO,1397_1581_46442_46442,999,VOLUMEN,P0509654519,30,MODA,C,CYZONE,COMPLEM. DE VESTIR,31,COMPLEMENTOS,398,MALETIN,0,0,,134.0,64.9,1.0,44385.0,0.515672,0.515672,0.009387,,,,
11,202305,PE,CONSULTORA,MASIVO,1498_1977_379971_379971,999,VOLUMEN,210047499,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,232,AEROSOL,0,0,CZ TRAX SO CLOSE 150ML,48.0,22.9,1.0,20186.15,0.522917,0.522917,0.007779,TRAX,DESODORANTES,INACTIVO,201401.0
13,202312,PE,CONSULTORA,MASIVO,1141_1187_10258_10258,999,VOLUMEN,200103458,10,COSMETICOS,C,CYZONE,FRAGANCIAS,12,MUESTRAS COSMETICOS,286,COLONIA FEMENINA,0,0,CZ PURE BLOOM PROB 2ML,1.9,1.16,15.0,0.98,0.389474,0.389474,7e-06,PURE BLOOM,FRAGANCIAS,INACTIVO,202106.0
21,202314,PE,CONSULTORA,MASIVO,2804_3269_20774_20774,1,INDIVIDUAL,200067317,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,CZ GIRLINK ROLL ON 50ML,18.0,8.9,1.0,294.06,0.505556,0.50945,0.000288,GIRLINK,DESODORANTES,INACTIVO,201401.0
28,202209,PE,CONSULTORA,MASIVO,3444_3560_309149_309149,2,SET,200044012,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ DANCING 100ML,74.0,23.3,1.0,2429.2,0.685135,0.69207,0.000966,DANCING,DAMAS,INACTIVO,201401.0
31,202205,PE,CONSULTORA,MASIVO,1247_1352_287840_287840,999,VOLUMEN,210059944,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,232,AEROSOL,0,0,CZ TRAX MYSTERIOUS 150ML,45.0,20.9,1.0,11847.99,0.535556,0.5526,0.00524,TRAX,DESODORANTES,ACTIVO,202113.0
37,202209,PE,CONSULTORA,MASIVO,1192_1245_306786_306786,999,VOLUMEN,210059944,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,232,AEROSOL,0,0,CZ TRAX MYSTERIOUS 150ML,45.0,21.9,1.0,5159.68,0.513333,0.5328,0.002183,TRAX,DESODORANTES,ACTIVO,202113.0
39,202214,PE,CONSULTORA,MASIVO,3299_3433_335765_335765,3,SET,210047499,10,COSMETICOS,C,CYZONE,CUIDADO PERSONAL,4,CUIDADO PERSONAL,232,AEROSOL,0,0,CZ TRAX SO CLOSE 150ML,46.0,14.44,1.0,3671.92,0.686087,0.686014,0.002277,TRAX,DESODORANTES,INACTIVO,201401.0
46,202312,PE,CONSULTORA,MASIVO,2667_3245_12245_12245,2,SET,200041664,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,CZ BLUE&BLUE FOR HIM 75ML,84.0,25.56,1.0,974.7,0.695714,0.695732,0.000323,BLUE&BLUE FOR HIM,CABALLEROS,ACTIVO,202216.0
49,202315,PE,CONSULTORA,MASIVO,1136_1225_22735_22735,999,VOLUMEN,200109874,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ SWEETB EXCLSIVE EDP 50 ML,80.0,34.9,1.0,36412.42,0.56375,0.56375,0.009222,SWEET BLACK EXCLUSIVE,DAMAS,ACTIVO,202303.0
50,202404,PE,CONSULTORA,MASIVO,779_854_55790_55790,1,INDIVIDUAL,200063985,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS 30ML,60.0,19.9,1.0,0.0,0.668333,0.668333,0.0,PRINTS,DAMAS,INACTIVO,198601.0
59,202214,PE,CONSULTORA,MASIVO,3023_3157_335415_335415,2,SET,200063985,10,COSMETICOS,C,CYZONE,FRAGANCIAS,1,FRAGANCIAS,11,PERFUMES,0,0,CZ PRINTS 30ML,60.0,17.75,1.0,7189.17,0.704167,0.704138,0.003628,PRINTS,DAMAS,INACTIVO,198601.0
61,202218,PE,CONSULTORA,MASIVO,1235_1448_355771_355771,1,INDIVIDUAL,P0509654026,30,MODA,C,CYZONE,COMPLEM. DE VESTIR,31,COMPLEMENTOS,512,BOLSO,0,0,,170.0,82.9,1.0,117593.92,0.512353,0.512353,0.01216,,,,
