,COD_PERIODO,COD_PAIS,TARGET,ALCANCE,ESTRUCTURA_VENTA,COD_SUBESTRATEGIA,DES_SUBESTRATEGIA,COD_CUC,COD_UNIDAD_NEGOCIO,DES_UNIDAD_NEGOCIO,COD_MARCA,DES_MARCA,DES_CLASE,COD_CATEGORIA,DES_CATEGORIA,COD_TIPOSOLO,DES_TIPOSOLO,ES_EMPAQUE,ES_MUESTRA,DES_CUC,PRECIO_NORMAL,PRECIO_OFERTA,FACTOR_REPETICION,REAL_VENTA_NETA_MONEDA_LOCAL,OFFER_UNIT_DSCT,OFFER_DSCT,PUP,DESLINEA,DESSUBCATEGORIA,DESESTATUS,ANIOCAMPANAINTRO
1,202217,PE,CONSULTORA,MASIVO,1430_1522_350871_350871,999,VOLUMEN,P0292090009,10,COSMETICOS,B,ESIKA,MAQUILLAJE,2,MAQUILLAJE,25,MASCARA,0,0,ES MASCARA MEGA FULL CURVE 8G,56.0,13.24,1.0,3624.06,0.763571,0.768688,0.002263,ESIKA,PARA OJOS,A DESCONTINUAR CONGELADO,202111.0
6,202208,PE,CONSULTORA,MASIVO,1096_1168_301809_301809,1,INDIVIDUAL,P0596048154,20,ACCESORIOS,B,ESIKA,BIJOUTERIE,21,BIJOUTERIE,107,ESTUCHES OTROS,0,0,,95.0,46.9,1.0,21305.89,0.506316,0.506316,0.004027,,,,
7,202309,PE,CONSULTORA,MASIVO,3318_4128_405230_405230,999,VOLUMEN,200101421,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES UNO PARF 90 ML,170.0,61.2,3.0,466.77,0.64,0.64,6.9e-05,UNO,CABALLEROS,A DESCONTINUAR CONGELADO,202108.0
12,202213,PE,CONSULTORA,MASIVO,1283_1357_328036_328036,999,VOLUMEN,200051232,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES D'ORSAY PARF 90 ML,160.0,37.48,3.0,68706.68,0.76575,0.758177,0.016097,D'ORSAY,MASCULINO,ACTIVO,201813.0
14,202306,PE,CONSULTORA,MASIVO,3397_4311_388331_388331,2,SET,200064292,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,72,FIJADOR,0,0,ES COMFORCE GEL 80G,34.0,15.0,1.0,1029.51,0.558824,0.516935,0.000597,COMANDO FORCE,ARMADORES,INACTIVO,201401.0
15,202208,PE,CONSULTORA,MASIVO,1220_1349_302039_302039,999,VOLUMEN,200050748,10,COSMETICOS,B,ESIKA,TRATAMIENTO CORPORAL,9,TRATAMIENTO CORPORAL,383,HUMECTANTES-NUTRITIVAS,0,0,ES MULT NUTRIENTS 1L,74.0,26.63,3.0,34956.87,0.640135,0.601347,0.011638,MULTICREM/BODYCREAM,CUERPO,INACTIVO,201401.0
16,202301,PE,CONSULTORA,MASIVO,1113_1194_361115_361115,999,VOLUMEN,200058349,10,COSMETICOS,B,ESIKA,FRAGANCIAS,1,FRAGANCIAS,1,COLONIA Y O EAU DE TOILETE,0,0,ES PULSO 100ML,160.0,37.49,4.0,63418.2,0.765688,0.762,0.016083,PULSO,MASCULINO,ACTIVO,202105.0
17,202306,PE,CONSULTORA,MASIVO,3947_4892_389052_389052,999,VOLUMEN,P0210133000,10,COSMETICOS,B,ESIKA,MAQUILLAJE,2,MAQUILLAJE,27,LAPIZ LABIAL,0,0,ES CFX LABIAL 24HR 2G,46.0,14.54,1.0,73.92,0.683913,0.681683,4.4e-05,COLORFIX,PARA LABIOS,A DESCONTINUAR CONGELADO,202413.0
18,202313,PE,CONSULTORA,MASIVO,1067_1108_14521_14521,999,VOLUMEN,200069656,10,COSMETICOS,B,ESIKA,TRATAMIENTO CORPORAL,9,TRATAMIENTO CORPORAL,383,HUMECTANTES-NUTRITIVAS,0,0,ES NAT DUR & JAZ 1L,72.0,26.63,3.0,16473.12,0.630139,0.630139,0.005438,NATURAL CARE,CUERPO,INACTIVO,201401.0
19,202314,PE,CONSULTORA,MASIVO,1380_1594_18883_18883,999,VOLUMEN,200056121,10,COSMETICOS,B,ESIKA,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,ES CARDIGAN DESO 50ML,18.0,8.9,1.0,1161.16,0.505556,0.535076,0.001137,CARDIGAN,DESODORANTES,INACTIVO,201401.0
