,COD_PERIODO,COD_PAIS,TARGET,ALCANCE,ESTRUCTURA_VENTA,COD_SUBESTRATEGIA,DES_SUBESTRATEGIA,COD_CUC,COD_UNIDAD_NEGOCIO,DES_UNIDAD_NEGOCIO,COD_MARCA,DES_MARCA,DES_CLASE,COD_CATEGORIA,DES_CATEGORIA,COD_TIPOSOLO,DES_TIPOSOLO,ES_EMPAQUE,ES_MUESTRA,DES_CUC,PRECIO_NORMAL,PRECIO_OFERTA,FACTOR_REPETICION,REAL_VENTA_NETA_MONEDA_LOCAL,OFFER_UNIT_DSCT,OFFER_DSCT,PUP,DESLINEA,DESSUBCATEGORIA,DESESTATUS,ANIOCAMPANAINTRO
0,202404,PE,CONSULTORA,MASIVO,883_958_55883_55883,2,SET,200090313,10,COSMETICOS,A,LBEL,TRATAMIENTO FACIAL,10,TRATAMIENTO FACIAL,41,NUTRITIVAS REVITALIZADORA,0,0,LB NOCTURNE OJOS 15G,118.0,0.0,1.0,0.0,1.0,0.784698,0.0,NOCTURNE,PARA OJOS,ANTES DE APARECER (NUEVO),202514.0
5,202316,PE,CONSULTORA,MASIVO,1273_1398_26718_26718,999,VOLUMEN,200107825,10,COSMETICOS,A,LBEL,CUIDADO PERSONAL,4,CUIDADO PERSONAL,93,ADULTOS-NIÑOS(AS)-BEBES,0,0,LB EXPERTÉ AC NUTRICI 200 ML,46.0,16.47,4.0,1088.84,0.641957,0.641957,0.000551,EXPERTÉ,ACONDICIONADORES,ACTIVO,202302.0
8,202303,PE,CONSULTORA,MASIVO,1163_1213_370002_370002,2,SET,P0602155150,50,APOYO,A,LBEL,PROMOCIONES DE 3ROS,72,PROMOCION USUARIOS,33,BOLSA,1,0,,2.5,2.5,1.0,534.23,0.0,0.689273,0.001869,,,,
22,202404,PE,CONSULTORA,MASIVO,752_827_55763_55763,1,INDIVIDUAL,200051249,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,287,COLONIA MASCULINA,0,0,LB BLEU INTENSE 100ML,166.0,74.9,1.0,0.0,0.548795,0.548795,0.0,BLEU INTENSE,CABALLEROS,ANTES DE APARECER (NUEVO),202316.0
23,202218,PE,CONSULTORA,MASIVO,1297_1510_355835_355835,2,SET,P0260059001,10,COSMETICOS,A,LBEL,MAQUILLAJE,2,MAQUILLAJE,14,CORRECTORES,0,0,LB CORRECTOR DUO CORRECT 5G,52.0,15.0,1.0,10917.89,0.711538,0.644898,0.00624,L'BEL,PARA ROSTRO,ACTIVO,202410.0
24,202317,PE,CONSULTORA,MASIVO,1354_1525_31099_31099,999,VOLUMEN,200080229,10,COSMETICOS,A,LBEL,CUIDADO PERSONAL,4,CUIDADO PERSONAL,366,ADULTOS,0,0,LB LIGNE EXPERTE ELIXIR 90ML,86.0,24.27,2.0,20567.94,0.717791,0.771038,0.006852,LIGNE EXPERTE,TRATAMIENTO CAPILAR,ACTIVO,201401.0
26,202217,PE,CONSULTORA,MASIVO,1443_1563_350922_350922,999,VOLUMEN,P0261052003,10,COSMETICOS,A,LBEL,MAQUILLAJE,2,MAQUILLAJE,27,LAPIZ LABIAL,0,0,LB LABIAL INFINI ABSOLU 7G,62.0,26.9,1.0,29468.79,0.566129,0.566129,0.0091,L'BEL,PARA LABIOS,A DESCONTINUAR CONGELADO,202312.0
30,202309,PE,CONSULTORA,MASIVO,1109_1173_401636_401636,999,VOLUMEN,200072404,10,COSMETICOS,A,LBEL,CUIDADO PERSONAL,4,CUIDADO PERSONAL,230,ROLL-ON,0,0,LB DRY EFFECT DESO ROLL 50ML,30.0,7.63,3.0,2819.95,0.745667,0.602964,0.003337,DRY EFFECT 48,DESODORANTES,INACTIVO,201818.0
32,202310,PE,CONSULTORA,MASIVO,1084_1141_406542_406542,999,VOLUMEN,200110088,10,COSMETICOS,A,LBEL,CUIDADO PERSONAL,4,CUIDADO PERSONAL,366,ADULTOS,0,0,LB EXPERTÉ SH LISO 300 ML,46.0,16.47,4.0,5164.86,0.641957,0.641957,0.002683,EXPERTÉ,SHAMPOO,ACTIVO,202302.0
34,202314,PE,CONSULTORA,MASIVO,1336_1538_18790_18790,2,SET,200106354,10,COSMETICOS,A,LBEL,FRAGANCIAS,1,FRAGANCIAS,287,COLONIA MASCULINA,0,0,LB BLEU GLACIAL PARF 100ML,168.0,60.44,1.0,3687.84,0.640238,0.640254,0.000532,BLEU GLACIAL,MASCULINO,ACTIVO,202212.0
